    Title_CutScene_6_Frame[] = {



int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 1, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 1, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 1, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 1, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 1, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 1, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 1, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 1, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 2, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

int16_t 0, 0, uint24_t Chambers_FG, uint8_t 0, uint8_t dbmMasked_end


int16_t 0, 0, uint24_t Chambers_BG, uint8_t 0, uint8_t dbmNormal
int16_t 10, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 114, 37, uint24_t Torches, uint8_t 0, uint8_t dbmMasked
int16_t 34, 28, uint24_t Princess, uint8_t 0, uint8_t dbmMasked

