Filetype: AmiTool Amiibo DB
Version: 1
AmiiboCount: 932

0000000000000002: Mario|Mario|Super Smash Bros.|Super Mario|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
0000000000340102: Mario|Mario|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
00000000003c0102: Mario - Gold Edition|Mario|Super Mario Bros.|Super Mario|Figure|au.2015-06-25,na.2015-03-20,eu.None,jp.2015-12-17
00000000003d0102: Mario - Silver Edition|Mario|Super Mario Bros.|Super Mario|Figure|au.2015-05-30,na.2015-05-29,eu.None,jp.None
0000000002380602: 8-Bit Mario Classic Color|Mario|8-bit Mario|Super Mario|Figure|au.2015-09-12,na.2015-09-11,eu.2015-11-09,jp.2015-09-10
0000000002390602: 8-Bit Mario Modern Color|Mario|8-bit Mario|Super Mario|Figure|au.2015-10-24,na.2015-09-11,eu.2015-10-23,jp.2015-09-10
0000000003710102: Mario - Wedding|Mario|Super Mario Bros.|Super Mario|Figure|au.2017-10-27,na.2017-10-27,eu.2017-10-27,jp.2017-10-27
00000003039bff02: Mario - Power Up Band|Mario|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
000000030430ff02: Golden - Power Up Band|Mario|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2023-03-18
00000004043f1c02: Mario - My Mario Wooden Blocks|Mario|My Mario Wooden Blocks|Super Mario|Block|au.None,eu.None,jp.2025-08-26,na.None
0000010000190002: Dr. Mario|Mario|Super Smash Bros.|Super Mario|Figure|au.2015-07-23,na.2015-09-11,eu.2015-07-17,jp.2015-07-17
0000030003a60102: Mario - Cat|Mario|Super Mario Bros.|Super Mario|Figure|au.2021-02-12,na.2021-02-12,eu.2021-02-12,jp.2021-02-12
00010000000c0002: Luigi|Luigi|Super Smash Bros.|Super Mario|Figure|au.2014-12-12,na.2014-12-14,eu.2014-12-19,jp.2014-12-06
0001000000350102: Luigi|Luigi|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
00010003039cff02: Luigi - Power Up Band|Luigi|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0001000404401c02: Luigi - My Mario Wooden Blocks|Luigi|My Mario Wooden Blocks|Super Mario|Block|au.None,eu.None,jp.2025-08-26,na.None
0002000000010002: Peach|Peach|Super Smash Bros.|Super Mario|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
0002000000360102: Peach|Peach|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
0002000003720102: Peach - Wedding|Peach|Super Mario Bros.|Super Mario|Figure|au.2017-10-27,na.2017-10-27,eu.2017-10-27,jp.2017-10-27
00020003039dff02: Peach - Power Up Band|Peach|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0002000404411c02: Peach - My Mario Wooden Blocks|Peach|My Mario Wooden Blocks|Super Mario|Block|au.None,eu.None,jp.2025-08-26,na.None
0002010003a70102: Peach - Cat|Peach|Super Mario Bros.|Super Mario|Figure|au.2021-02-12,na.2021-02-12,eu.2021-02-12,jp.2021-02-12
0003000000020002: Yoshi|Yoshi|Super Smash Bros.|Super Mario|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
0003000000370102: Yoshi|Yoshi|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
00030003039fff02: Yoshi - Power Up Band|Yoshi|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0003000404421c02: Yoshi - My Mario Wooden Blocks|Yoshi|My Mario Wooden Blocks|Super Mario|Block|au.None,eu.None,jp.2025-08-26,na.None
0003010200410302: Green Yarn Yoshi|Yoshi|Yoshi's Woolly World|Super Mario|Yarn|au.2015-06-25,na.2015-10-16,eu.2015-06-26,jp.2015-07-16
0003010200420302: Pink Yarn Yoshi|Yoshi|Yoshi's Woolly World|Super Mario|Yarn|au.2015-06-25,na.2015-10-16,eu.2015-06-26,jp.2015-07-16
0003010200430302: Light Blue Yarn Yoshi|Yoshi|Yoshi's Woolly World|Super Mario|Yarn|au.2015-06-25,na.2015-10-16,eu.2015-06-26,jp.2015-07-16
00030102023e0302: Mega Yarn Yoshi|Yoshi|Yoshi's Woolly World|Super Mario|Yarn|au.2015-11-28,na.2015-11-15,eu.2015-11-27,jp.2015-12-10
0004000002620102: Rosalina|Rosalina|Super Mario Bros.|Super Mario|Figure|au.2016-10-08,na.2016-11-04,eu.2016-10-07,jp.2016-10-20
0004010000130002: Rosalina & Luma|Rosalina|Super Smash Bros.|Super Mario|Figure|au.2015-01-29,na.2015-02-01,eu.2015-01-23,jp.2015-01-22
0005000000140002: Bowser|Bowser|Super Smash Bros.|Super Mario|Figure|au.2015-01-29,na.2015-02-01,eu.2015-01-23,jp.2015-01-22
0005000000390102: Bowser|Bowser|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
0005000003730102: Bowser - Wedding|Bowser|Super Mario Bros.|Super Mario|Figure|au.2017-10-27,na.2017-10-27,eu.2017-10-27,jp.2017-10-27
0005ff00023a0702: Hammer Slam Bowser|Bowser|Skylanders|Super Mario|Figure|au.2015-09-24,na.2015-09-20,eu.2015-09-25,jp.None
0006000000150002: Bowser Jr.|Bowser Jr.|Super Smash Bros.|Super Mario|Figure|au.2015-07-23,na.2015-09-11,eu.2015-07-17,jp.2015-07-17
00070000001a0002: Wario|Wario|Super Smash Bros.|Super Mario|Figure|au.2015-04-25,na.2015-05-29,eu.2015-04-24,jp.2015-04-29
0007000002630102: Wario|Wario|Super Mario Bros.|Super Mario|Figure|au.2016-10-08,na.2016-11-04,eu.2016-10-07,jp.2016-10-20
0008000000030002: Donkey Kong|Donkey Kong|Super Smash Bros.|Super Mario|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
0008000002640102: Donkey Kong|Donkey Kong|Super Mario Bros.|Super Mario|Figure|au.2016-10-08,na.2016-11-04,eu.2016-10-07,jp.2016-10-20
000800030431ff02: Donkey Kong - Power Up Band|Donkey Kong|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2024-12-11
00080100042f1a02: Donkey Kong & Pauline|Donkey Kong|Donkey Kong|Super Mario|Figure|au.2025-07-17,na.2025-07-17,eu.2025-07-17,jp.2025-07-17
0008ff00023b0702: Turbo Charge Donkey Kong|Donkey Kong|Skylanders|Super Mario|Figure|au.2015-09-24,na.2015-09-20,eu.2015-09-25,jp.None
00090000000d0002: Diddy Kong|Diddy Kong|Super Smash Bros.|Super Mario|Figure|au.2014-12-12,na.2014-12-14,eu.2014-12-19,jp.2014-12-06
0009000002650102: Diddy Kong|Diddy Kong|Super Mario Bros.|Super Mario|Figure|au.2016-11-05,na.2016-11-04,eu.2016-11-04,jp.2016-10-20
000900030432ff02: Diddy Kong - Power Up Band|Diddy Kong|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2024-12-11
000a000000380102: Toad|Toad|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
000a000303a0ff02: Toad - Power Up Band|Toad|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0013000002660102: Daisy|Daisy|Super Mario Bros.|Super Mario|Figure|au.2016-11-05,na.2016-11-04,eu.2016-11-04,jp.2016-10-20
00130000037a0002: Daisy|Daisy|Super Smash Bros.|Super Mario|Figure|au.2019-04-12,na.2019-04-12,eu.2019-04-12,jp.2019-04-12
00130003039eff02: Daisy - Power Up Band|Daisy|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0014000002670102: Waluigi|Waluigi|Super Mario Bros.|Super Mario|Figure|au.2016-11-05,na.2016-11-04,eu.2016-11-04,jp.2016-10-20
0015000003670102: Goomba|Goomba|Super Mario Bros.|Super Mario|Figure|au.2017-10-07,na.2017-10-06,eu.2017-10-06,jp.2017-10-05
0017000002680102: Boo|Boo|Super Mario Bros.|Super Mario|Figure|au.2016-10-08,na.2016-11-04,eu.2016-10-07,jp.2016-10-20
0023000003680102: Koopa Troopa|Koopa Troopa|Super Mario Bros.|Super Mario|Figure|au.2017-10-07,na.2017-10-06,eu.2017-10-06,jp.2017-10-05
00240000038d0002: Piranha Plant|Piranha Plant|Super Smash Bros.|Super Mario|Figure|au.2019-02-15,na.2019-02-15,eu.2019-02-15,jp.2019-02-15
00800102035d0302: Poochy|Poochy|Yoshi's Woolly World|Yoshi's Woolly World|Yarn|au.2017-02-04,na.2017-02-03,eu.2017-02-03,jp.2017-01-19
00c00000037b0002: King K. Rool|King K. Rool|Super Smash Bros.|Donkey Kong|Figure|au.2019-02-15,na.2019-02-15,eu.2019-02-15,jp.2019-02-15
0100000000040002: Link|Link|Super Smash Bros.|The Legend of Zelda|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
01000000034b0902: Link - Ocarina of Time|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-12-03,na.2016-12-02,eu.2016-12-02,jp.2016-12-01
01000000034c0902: Link - Majora's Mask|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-06-24,na.2017-06-23,eu.2017-06-23,jp.2017-06-23
01000000034d0902: Link - Twilight Princess|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-06-24,na.2017-06-23,eu.2017-06-23,jp.2017-06-23
01000000034e0902: Link - Skyward Sword|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-06-24,na.2017-06-23,eu.2017-06-23,jp.2017-06-23
01000000034f0902: 8-Bit Link|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-12-03,na.2016-12-02,eu.2016-12-02,jp.2016-12-01
0100000003530902: Link - Archer|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-03-03,na.2017-03-03,eu.2017-03-03,jp.2017-03-03
0100000003540902: Link - Rider|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-03-03,na.2017-03-03,eu.2017-03-03,jp.2017-03-03
01000000037c0002: Young Link|Link|Super Smash Bros.|The Legend of Zelda|Figure|au.2019-04-12,na.2019-04-12,eu.2019-04-12,jp.2019-04-12
0100000003990902: Link - Link's Awakening|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2019-09-20,na.2019-09-20,eu.2019-09-20,jp.2019-09-20
0100000004180902: Link - Tears of the Kingdom|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2023-05-12,na.2023-05-12,eu.2023-05-12,jp.2023-05-12
0100010000160002: Toon Link|Link|Super Smash Bros.|The Legend of Zelda|Figure|au.2015-01-29,na.2015-02-01,eu.2015-01-23,jp.2015-01-22
0100010003500902: Toon Link - The Wind Waker|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-12-03,na.2016-12-02,eu.2016-12-02,jp.2016-12-01
01010000000e0002: Zelda|Zelda|Super Smash Bros.|The Legend of Zelda|Figure|au.2014-12-12,na.2014-12-14,eu.2014-12-19,jp.2014-12-06
0101000003520902: Toon Zelda - The Wind Waker|Zelda|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-12-03,na.2016-12-02,eu.2016-12-02,jp.2016-12-01
0101000003560902: Zelda|Zelda|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-03-03,na.2017-03-03,eu.2017-03-03,jp.2017-03-03
0101000004190902: Zelda - Tears of the Kingdom|Zelda|Legend Of Zelda|The Legend of Zelda|Figure|au.2023-11-03,na.2023-11-03,eu.2023-11-03,jp.2023-11-03
0101010000170002: Sheik|Zelda|Super Smash Bros.|The Legend of Zelda|Figure|au.2015-01-29,na.2015-02-01,eu.2015-01-23,jp.2015-01-22
0101030004140902: Zelda & Loftwing|Zelda|Legend Of Zelda|The Legend of Zelda|Figure|au.2021-07-16,na.2021-07-16,eu.2021-07-16,jp.2021-07-16
01020100001b0002: Ganondorf|Ganon|Super Smash Bros.|The Legend of Zelda|Figure|au.2015-07-04,na.2015-09-11,eu.2015-06-26,jp.2015-06-11
01020100041a0902: Ganondorf - Tears of the Kingdom|Ganon|Legend Of Zelda|The Legend of Zelda|Figure|au.2023-11-03,na.2023-11-03,eu.2023-11-03,jp.2023-11-03
01030000024f0902: Midna & Wolf Link|Midna|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-03-05,na.2016-03-04,eu.2016-03-04,jp.2016-03-10
0105000003580902: Daruk|Daruk|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-11-10,na.2017-11-10,eu.2017-11-10,jp.2017-11-10
0106000003590902: Urbosa|Urbosa|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-11-10,na.2017-11-10,eu.2017-11-10,jp.2017-11-10
01070000035a0902: Mipha|Mipha|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-11-10,na.2017-11-10,eu.2017-11-10,jp.2017-11-10
01080000035b0902: Revali|Revali|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-11-10,na.2017-11-10,eu.2017-11-10,jp.2017-11-10
0109000004a30902: Riju|Riju|Legend Of Zelda|The Legend of Zelda|Figure|au.2025-06-05,eu.2025-06-05,jp.2025-06-05,na.2025-06-05
