# Madrid Region Stations - Metro, Cercanías, Metro Ligero
# Format: station_code,station_name

# Estaciones reales más comunes encontradas en dumps (PRIORITARIAS)
0x0000,Unknown Station
0x7000,Madrid-Atocha
0x7001,Madrid-Chamartín
0x7002,Madrid-Príncipe Pío
0x7100,Sol
0x7101,Gran Vía
0x7102,Callao
0x7200,Nuevos Ministerios
0x7201,Santiago Bernabéu
0x7300,Atocha Renfe
0x7301,Recoletos
0x7400,Méndez Álvaro
0x7500,Cuatro Caminos
0x7600,Moncloa

# Metro de Madrid - Línea 1 (Azul claro)
0x001,Pinar de Chamartín
0x002,Bambú
0x003,Chamartín
0x004,Plaza de Castilla
0x005,Valdeacederas
0x006,Tetuán
0x007,Estrecho
0x008,Alvarado
0x009,Cuatro Caminos
0x00A,Ríos Rosas
0x00B,Iglesia
0x00C,Bilbao
0x00D,Tribunal
0x00E,Gran Vía
0x00F,Sol
0x010,Tirso de Molina
0x011,Antón Martín
0x012,Atocha-RENFE
0x013,Menéndez Pelayo
0x014,Pacífico
0x015,Puente de Vallecas
0x016,Nueva Numancia
0x017,Portazgo
0x018,Buenos Aires
0x019,Alto del Arenal
0x01A,Miguel Hernández
0x01B,Sierra de Guadalupe
0x01C,Villa de Vallecas
0x01D,Congosto
0x01E,La Gavia

# Metro de Madrid - Línea 2 (Roja)
0x020,Cuatro Caminos
0x021,Canal
0x022,Quevedo
0x023,San Bernardo
0x024,Noviciado
0x025,Santo Domingo
0x026,Ópera
0x027,La Latina
0x028,Embajadores
0x029,Palos de la Frontera
0x02A,Aluche
0x02B,Eugenia de Montijo
0x02C,Carabanchel
0x02D,Vista Alegre
0x02E,Puerta del Ángel
0x02F,Las Rosas

# Metro de Madrid - Línea 3 (Amarilla)
0x030,Moncloa
0x031,Argüelles
0x032,Ventura Rodríguez
0x033,Callao
0x034,Sol
0x035,Embajadores
0x036,Lavapiés
0x037,Delicias
0x038,Palos de la Frontera
0x039,Menéndez Pelayo
0x03A,Pacífico
0x03B,Puente de Vallecas
0x03C,Nueva Numancia
0x03D,Villa de Vallecas
0x03E,San Fermín
0x03F,Ciudad de los Ángeles
0x040,Villaverde Alto

# Metro de Madrid - Línea 4 (Marrón)
0x041,Argüelles
0x042,San Bernardo
0x043,Bilbao
0x044,Alonso Martínez
0x045,Colón
0x046,Serrano
0x047,Velázquez
0x048,Goya
0x049,Lista
0x04A,Diego de León
0x04B,Avenida de América
0x04C,Prosperidad
0x04D,Alfonso XIII
0x04E,Avenida de la Paz
0x04F,Arturo Soria
0x050,Esperanza
0x051,Canillas
0x052,Mar de Cristal
0x053,San Lorenzo
0x054,Parque de Santa María
0x055,Hortaleza
0x056,Manoteras
0x057,Pinar de Chamartín

# Metro de Madrid - Línea 5 (Verde)
0x058,Alameda de Osuna
0x059,El Capricho
0x05A,Canillejas
0x05B,Torre Arias
0x05C,Suanzes
0x05D,Ciudad Lineal
0x05E,Pueblo Nuevo
0x05F,Quintana
0x060,El Carmen
0x061,Ventas
0x062,Manuel Becerra
