# País Vasco Region Stations - RENFE, Euskotren, Metro Bilbao
# Format: station_code,station_name

# Estaciones reales más comunes encontradas en dumps (PRIORITARIAS)
0x0000,Unknown Station
0xA000,Bilbao-Abando
0xA001,Donostia-San Sebastián
0xA002,Vitoria-Gasteiz
0xA003,Irún
0xA004,Miranda de Ebro
0xA005,Alsasua
0xA006,Hendaya

# Metro Bilbao - Línea 1
0xA100,Etxebarri
0xA101,Bolueta
0xA102,Basauri
0xA103,Ariz
0xA104,Urbinaga
0xA105,Sestao
0xA106,Portugalete
0xA107,Abatxolo
0xA108,Santurtzi
0xA109,Peñota
0xA10A,Mamariga
0xA10B,Areeta
0xA10C,Gobela
0xA10D,Neguri
0xA10E,Aiboa
0xA10F,Algorta
0xA110,Bidezabal
0xA111,Berango
0xA112,Larrabasterra
0xA113,Urduliz
0xA114,Sopela
0xA115,Urduliz
0xA116,Plentzia

# Metro Bilbao - Línea 2
0xA120,Basauri
0xA121,Ariz
0xA122,Etxebarri
0xA123,Igorre
0xA124,Zugastieta
0xA125,Abusu
0xA126,Boroa
0xA127,Lemoa
0xA128,Amorebieta
0xA129,Muxika
0xA12A,Bermeo

# Euskotren Trena (Cercanías)
0xA200,Bilbao-Atxuri
0xA201,Deusto
0xA202,Sarriko
0xA203,Bidebieta
0xA204,Basurto
0xA205,Lutxana
0xA206,Erandio
0xA207,Erandio-Goikoa
0xA208,Lutxana-Erandio
0xA209,Galdakao
0xA20A,Usansolo
0xA20B,Amorebieta-Etxano
0xA20C,Lemoa
0xA20D,Gernika-Lumo
0xA20E,Bermeo

# Euskotren - Línea Donostia
0xA300,Donostia-Amara
0xA301,Anoeta
0xA302,Lugaritz
0xA303,Herrera
0xA304,Intxaurrondo
0xA305,Pasaia
0xA306,Lezo
0xA307,Errenteria
0xA308,Oiartzun
0xA309,Irún-Ficoba
0xA30A,Irún-Colón
0xA30B,Hendaya

# RENFE Cercanías San Sebastián
0xA400,Donostia-San Sebastián
0xA401,Pasaia-San Pedro
0xA402,Errenteria-Oiartzun
