# Valencia Region Stations - Metro, Tranvia, Cercanias, FGV
# Format: station_code,station_name

# Estaciones reales encontradas en dumps de tarjetas (PRIORITARIAS)
0x7069,Valencia-Nord
0x0080,Xativa
0x9400,Jesus
0x6900,Turia
0x6F00,Pont de Fusta
0x0100,Alameda
0xA002,Estacio del Nord
0x7882,Xativa-Estacio
0x7002,Cullera
0x3891,L'Eliana
0x086E,Valencia Sud
0x3C91,Benimamet
0x2894,Sagunto
0xA46F,Alzira
0x3811,Valencia-Joaquin Sorolla
0x1800,Angel Guimera
0x1900,Bailen
0x1A00,Colon
0x6980,Alacant
0x6A00,Russafa
0x2000,La Fonteta Sant Lluis
0x0000,Unknown Station
0x1B00,Alameda
0x1C00,Pont de Fusta
0x1D00,Jesus
0x1E00,Quatre Carreres
0x1F00,Montoli
0x2100,Alfafar-Benetusser
0x2200,Benetusser
0x2300,Massanassa
0x2400,Catarroja
0x2500,Silla
0x2600,Almussafes
0x2700,Benifaio
0x2800,Alginet
0x2900,Algemesi
0x2A00,Alzira
0x2B00,Carcaixent
0x2C00,Tavernes de Valldigna
0x2D00,Gandia
0x2E00,Oliva
0x2F00,Denia
0x1400,Burjassot
0x1500,Empalme
0x1600,Campanar

# Metrovalencia - Linea 1 (Betera-Villanueva de Castellon)
0x001,Betera
0x002,Massamagrell
0x003,La Pobla de Farnals
0x004,Pucol
0x005,Sagunto
0x006,Almenara
0x007,Xilxes
0x008,La Llosa
0x009,Chilches
0x00A,Nules
0x00B,Burriana
0x00C,Vila-real
0x00D,Castello de la Plana
0x00E,Almassora
0x00F,Benicassim
0x010,Oropesa del Mar
0x011,Torreblanca
0x012,Alcossebre
0x013,Peniscola
0x014,Benicarlo
0x015,Vinaros
0x016,Ulldecona
0x017,La Senia
0x018,Tortosa
0x019,L'Aldea
0x01A,Amposta
0x01B,L'Ametlla de Mar
0x01C,L'Hospitalet de l'Infant
0x01D,Vandellos
0x01E,Cambrils
0x01F,Salou
0x020,Vila-seca
0x021,Tarragona

# Metrovalencia - Linea 2 (Torrent-Sagunto)
0x030,Torrent
0x031,Torrent Avinguda
0x032,Picanya
0x033,Paiporta
0x034,Benetusser
0x035,Alfafar-Benetusser
0x036,Massanassa
0x037,Catarroja
0x038,Silla
0x039,Almussafes
0x03A,Benifaio
0x03B,Alginet
0x03C,Algemesi
0x03D,Alzira
0x03E,Carcaixent
0x03F,Manuel
0x040,Tavernes de Valldigna
0x041,Simat
0x042,Barx
0x043,Gandia
0x044,Daimus
0x045,Guardamar de la Safor
0x046,Bellreguard
0x047,Miramar
0x048,Piles
0x049,Oliva
0x04A,Denia

# Metrovalencia - Linea 3 (Rafelbunyol-Aeropuerto)
0x050,Rafelbunyol
0x051,Tavernes Blanques
0x052,Alboraya-Palmaret
0x053,Alboraya-Peris Arago
0x054,Palmaret
0x055,Pont de Fusta
0x056,Machado
0x057,La Carrasca
0x058,Facultats
0x059,Benimamet
0x05A,Empalme
0x05B,Burjassot
0x05C,Godella
0x05D,Burjassot-Godella

# Metrovalencia - Linea 5 (Maritim-Serreria-Aeropuerto)
0x060,Maritim-Serreria
0x061,Neptu
0x062,Eugenia Vines
0x063,Les Arenes
0x064,Betero
0x065,Grau-Canyamelar
0x066,Cabanyal-Canyamelar
0x067,Serreria
0x068,Ayora
0x069,L'Amistat
0x06A,Empalme
0x06B,Torrefiel
0x06C,Sant Isidre
0x06D,Orriols
0x06E,Rocafort
0x06F,Godella
0x070,Burjassot

# Metrovalencia - Linea 7 (Torrent Avinguda-Maritim-Serreria)
0x071,Torrent Avinguda
0x072,L'Alter
0x073,Manual Candela
0x074,Xirivella-L'Alter
0x075,Xirivella-Alqueries
0x076,Sant Isidre
0x077,La Carrasca
0x078,Jesus
0x079,Sant Pau
0x07A,Patraix
0x07B,Neptu
0x07C,Maritim-Serreria

# Metrovalencia - Linea 9 (Alboraya-Orriols-Riba-roja)
0x080,Alboraya-Orriols
0x081,Seminari-CEU
0x082,Machado
0x083,La Carrasca
0x084,Turia
0x085,Angel Guimera
0x086,Placa Espanya
0x087,Xativa
0x088,Sant Isidre
0x089,Patraix
0x08A,Jesus
0x08B,Quatre Carreres
0x08C,Montoli
0x08D,La Fonteta de Sant Lluis
0x08E,Alfred Palau
0x08F,Amado Granell
0x090,Picanya
0x091,Paiporta
0x092,Benetusser
0x093,Massanassa
0x094,Alfafar
0x095,Sedavi
0x096,Castellar-L'Oliveral
0x097,L'Alcudia
0x098,Carlet
0x099,Algemesi
0x09A,Alzira
0x09B,Antella
0x09C,Sumacarcer
0x09D,Tous
0x09E,Llombai
0x09F,Catadau
0x0A0,Llanera de Ranes
0x0A1,Xativa
0x0A2,L'Enova
0x0A3,Manuel
0x0A4,Alberic
0x0A5,Massalaves
0x0A6,Sueca
0x0A7,Cullera

# Tranvia de Valencia - Linea 4 (Mas del Rosari-Dr. Lluch)
0x0B0,Mas del Rosari
0x0B1,Benimamet
0x0B2,Palmaret
0x0B3,Machado
0x0B4,Facultats
0x0B5,Angel Guimera
0x0B6,Pont de Fusta
0x0B7,Turia
0x0B8,Xativa
0x0B9,Russafa
0x0BA,La Cadena
0x0BB,La Carrasca
0x0BC,Ayora
0x0BD,L'Amistat
0x0BE,Empalme
